MIX,Compressive  (Cube 150*150*150) (Mpa),,,,,,,,,,,,,,,
,7 Days (32.33 Mpa),,,,28 Days (48.25 Mpa),,,,56  Days,,,,90 Days,,,
,1,2,3,Avg.,1,2,3,Avg.,1,2,3,Avg.,1,2,3,Avg.
MOPL0 ,34.67,34.22,33.34,34.08,48.44,48.89,48.89,48.74,50.22,51.11,50.67,50.67,54.22,55.11,54.67,54.67
MOFL0,29.78,30.22,30.67,30.22,48.44,48.89,48.44,48.59,50.22,50.67,50.22,50.37,54.22,54.67,54.22,54.37
MOFL2,30.67,29.33,31.11,30.37,48.89,49.33,49.33,49.18,50.67,51.11,50.67,50.82,55.11,55.56,55.11,55.26
MOFL4,31.56,31.11,30.67,31.11,49.78,50.22,50.22,50.07,51.56,52.00,51.56,51.71,56.00,56.44,56.00,56.15
MOFL6,33.11,32.44,33.78,33.11,50.67,51.11,51.56,51.11,52.44,53.33,52.89,52.89,56.89,57.33,57.33,57.18
MOFL8,31.56,32.89,33.78,32.74,49.33,49.78,49.33,49.48,51.11,51.56,51.11,51.26,55.56,56.00,55.56,55.71
MOFL10,32.44,32.00,33.33,32.59,48.89,49.33,48.89,49.04,50.67,51.11,50.67,50.82,54.67,55.11,54.67,54.82
MPPL0,30.22,30.67,30.22,30.37,48.44,48.89,48.44,48.59,50.22,51.11,50.67,50.67,54.22,55.11,54.67,54.67
MPPL2,30.22,31.11,30.67,30.67,48.89,49.33,49.33,49.18,50.67,51.56,51.11,51.11,55.11,56.00,55.56,55.56
MPPL4,30.67,31.56,31.11,31.11,49.78,50.22,50.22,50.07,51.56,52.44,52.00,52.00,56.44,56.89,56.44,56.59
MPPL6,33.34,32.00,32.44,32.59,50.67,51.11,51.11,50.96,52.00,52.44,52.44,52.29,56.89,57.33,56.89,57.04
MPPL8,33.78,32.90,33.11,33.26,52.00,52.44,52.88,52.44,52.89,53.33,53.33,53.18,57.78,58.22,58.22,58.07
MPPL10,32.44,32.00,33.78,32.74,50.22,50.67,50.22,50.37,52.00,52.44,52.89,52.44,56.89,57.33,57.78,57.33
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MOPL0-,MIX-OPC53-LD SLAG 0,,,,,,,,,,,,,,,
MOFL0-,MIX-OPC53+FLYASH-LD SLAG 0,,,,,,,,,,,,,,,
MPPL0-,MIX-PPC- LD SLAG 0,,,,,,,,,,,,,,,
